"","variable","expected_gain","EVPI_do","EVPI_dont"
"discount_rate","discount_rate",-13027.4707940052,13027.4707940052,0
"production_area","production_area",NA,0,0
"infection_risk","infection_risk",-13144.9130442032,13497.6256634338,352.712619230647
"plants_per_ha","plants_per_ha",-12992.4445711396,12992.4445711396,0
"fungus_probability_N","fungus_probability_N",-12893.5864950234,12893.5864950234,0
"fungus_probability_R","fungus_probability_R",-13091.7957705944,13714.8719925119,623.076221917425
"disease_expansion_factor_N","disease_expansion_factor_N",-12551.6457444571,12551.6457444571,0
"disease_expansion_factor_R","disease_expansion_factor_R",-12574.4504839823,12574.4504839823,0
"detection_factor_N","detection_factor_N",-12777.7405462502,12777.7405462502,0
"detection_factor_R","detection_factor_R",-12700.9184961837,12700.9184961837,0
"fungus_fight_effect_N","fungus_fight_effect_N",-12489.6482243354,12489.6482243354,0
"fungus_fight_effect_R","fungus_fight_effect_R",-12507.0913323114,12507.0913323114,0
"var_CV","var_CV",-12964.8646248409,12964.8646248409,0
"number_yearly_prophy_application_N","number_yearly_prophy_application_N",-12915.4588286914,12915.4646883378,0.00585964637602303
"number_yearly_prophy_application_R","number_yearly_prophy_application_R",-12755.5876988614,12881.3443222422,125.756623380822
"effect_no_prophy_application","effect_no_prophy_application",-12047.5129798533,12047.5129798533,0
"effect_one_prophy_application","effect_one_prophy_application",-13020.0436312824,13020.0436312824,0
"effect_two_prophy_application","effect_two_prophy_application",-12970.3080100687,12970.3080100687,0
"effect_three_prophy_application","effect_three_prophy_application",-13039.3315838002,13039.3315838002,0
"effect_four_prophy_application","effect_four_prophy_application",-13081.0102637788,13081.0102637788,0
"effect_five_prophy_application","effect_five_prophy_application",-13004.3967071824,13004.3967071824,0
"effect_six_prophy_application","effect_six_prophy_application",-13003.7722262513,13003.7722262513,0
"effect_seven_prophy_application","effect_seven_prophy_application",-12991.39881466,12991.39881466,0
"effect_eight_prophy_application","effect_eight_prophy_application",-12550.190756884,12550.190756884,0
"value_of_saleable_Calluna","value_of_saleable_Calluna",-12965.4837879824,12993.2088508014,27.7250628189199
"chance_higher_price_sustainable","chance_higher_price_sustainable",-12459.4134373323,12459.4134373323,0
"price_premium_sustainable","price_premium_sustainable",-13020.8926694488,13020.8926694488,0
"value_not_saleable_Calluna","value_not_saleable_Calluna",-12964.8734380678,12964.8734380678,0
"value_sorted_out_Calluna","value_sorted_out_Calluna",-11313.6736244304,11313.6736244304,0
"value_of_one_new_plant","value_of_one_new_plant",-12623.4501446376,12623.4501446376,0
"fertilizer_adjustment","fertilizer_adjustment",-12593.5811507827,12593.5811507827,0
"costs_normal_fertilizer","costs_normal_fertilizer",-12726.0765754627,12726.0765754627,0
"costs_staff","costs_staff",-12865.4051121396,12865.4051121396,0
"costs_more_staff","costs_more_staff",-13005.3017071015,13005.3017071015,0
"threshold_big_area_more_staff","threshold_big_area_more_staff",-12944.9528407713,12944.9528407713,0
"costs_monitoring_per_ha_month","costs_monitoring_per_ha_month",-12543.9205205042,12543.9205205042,0
"additional_costs_more_monitoring_per_ha","additional_costs_more_monitoring_per_ha",-12923.4377292706,12923.4377292706,0
"yearly_costs_of_direct_fungus_fight_N","yearly_costs_of_direct_fungus_fight_N",-12849.0202350419,12849.0202350419,0
"yearly_costs_of_direct_fungus_fight_R","yearly_costs_of_direct_fungus_fight_R",-12667.4112453058,12667.4112453058,0
"cost_one_prophy_application","cost_one_prophy_application",-12834.4569523307,12834.4569523307,0
"detection_factor_MP","detection_factor_MP",-12851.9446089271,13070.8329604786,218.88835155155
"fungus_fight_effect_MP","fungus_fight_effect_MP",-12187.0113685728,12187.0113685728,0
"amount_of_samples_MP","amount_of_samples_MP",-12887.0796052526,12887.0796052526,0
"costs_per_sample_MP","costs_per_sample_MP",-12935.8206548302,12935.8206548302,0
"savings_due_to_MP","savings_due_to_MP",-13027.275231139,13448.6846223983,421.409391259251
"costs_monitoring_plan_per_ha","costs_monitoring_plan_per_ha",-12983.2204902502,12992.3505402977,9.13005004750948
